,Seller Name,Seller type,BHK,Location,Total Price,price per sqft,Area_sqft,Construction status
155,Ira Reality,BUILDER,3 BHK Apartment,"Kollur, Hyderabad", 79.71 L,"4,998 ",1595 ,Under Construction
156,Ira Reality,BUILDER,3 BHK Apartment,"Kollur, Hyderabad", 1.09 Cr,"4,998 ",2195 ,Under Construction
157,Ira Reality,BUILDER,3 BHK Apartment,"Kollur, Hyderabad", 1.09 Cr,"4,998 ",2195 ,Under Construction
158,Ira Reality,BUILDER,3 BHK Apartment,"Kollur, Hyderabad", 74.72 L,"4,998 ",1495 ,Under Construction
159,Ira Reality,BUILDER,3 BHK Apartment,"Kollur, Hyderabad", 74.72 L,"4,998 ",1495 ,Under Construction
160,Ira Reality,BUILDER,3 BHK Apartment,"Kollur, Hyderabad", 94.71 L,"4,998 ",1895 ,Under Construction
161,Ira Reality,BUILDER,3 BHK Apartment,"Kollur, Hyderabad", 94.71 L,"4,998 ",1895 ,Under Construction
162,Merlion Builders,BUILDER,3 BHK Apartment,"Nizampet, Hyderabad", 90.7 L,"5,599 ",1620 ,Under Construction
163,Merlion Builders,BUILDER,2 BHK Apartment,"Nizampet, Hyderabad", 71.41 L,"5,600 ",1275 ,Under Construction
164,Merlion Builders,BUILDER,3 BHK Apartment,"Nizampet, Hyderabad", 1.03 Cr,"5,599 ",1853 ,Under Construction
165,Alekya Infraa Developers,AGENT,Residential Plot,"Sadashivpet, Hyderabad", 26.25 L,"1,444 ",1818 ,New
166,Alekya Infraa Developers,AGENT,Residential Plot,"Sadashivpet, Hyderabad", 24.04 L,"1,444 ",1665 ,New
167,Alekya Infraa Developers,AGENT,Residential Plot,"Kothur Patti Digwal, Hyderabad", 20 L,"1,346 ",1485 ,New
168,Alekya Infraa Developers,AGENT,Residential Plot,"Kothur Patti Digwal, Hyderabad", 34 L,"2,289 ",1485 ,New
169,Hallmark Builders,BUILDER,2 BHK Apartment,"Patighanpur, Hyderabad", 70.66 L,"5,499 ",1285 ,Under Construction
170,Hallmark Builders,BUILDER,3 BHK Apartment,"Patighanpur, Hyderabad", 87.15 L,"5,499 ",1585 ,Under Construction
171,Hallmark Builders,BUILDER,3 BHK Apartment,"Patighanpur, Hyderabad", 87.15 L,"5,499 ",1585 ,Under Construction
172,Hallmark Builders,BUILDER,3 BHK Apartment,"Patighanpur, Hyderabad", 93.48 L,"5,499 ",1700 ,Under Construction
173,Hallmark Builders,BUILDER,3 BHK Apartment,"Patighanpur, Hyderabad", 93.48 L,"5,499 ",1700 ,Under Construction
174,Alekya Infraa Developers,AGENT,Residential Plot,"Aroor, Hyderabad", 29.6 L,"1,777 ",1665 ,New
175,Alekya Infraa Developers,AGENT,Residential Plot,"Nallagandla Gachibowli, Hyderabad", 27.2 L,"1,777 ",1530 ,New
176,Alekya Infraa Developers,AGENT,Residential Plot,"Sadashivpet, Hyderabad", 48.75 L,"1,444 ",3375 ,New
177,Alekya Infraa Developers,AGENT,Residential Plot,"Sadashivpet, Hyderabad", 23.4 L,"1,444 ",1620 ,New
178,Alekya Infraa Developers,AGENT,Residential Plot,"Sadashivpet, Hyderabad", 22.1 L,"1,444 ",1530 ,New
179,Alekya Infraa Developers,AGENT,Residential Plot,"Sadashivpet, Hyderabad", 21.19 L,"1,444 ",1467 ,New
180,Alekya Infraa Developers,AGENT,Residential Plot,"Aroor, Hyderabad", 64 L,"1,777 ",3600 ,New
181,Alekya Infraa Developers,AGENT,Residential Plot,"Sadashivpet, Hyderabad", 32.5 L,"1,444 ",2250 ,New
182,Alekya Infraa Developers,AGENT,Residential Plot,"Sangareddy, Hyderabad", 75 L,"2,777 ",2700 ,New
183,Alekya Infraa Developers,AGENT,Residential Plot,"Sangareddy, Hyderabad", 62.5 L,"2,777 ",2250 ,New
184,Alekya Infraa Developers,AGENT,Residential Plot,"Sangareddy, Hyderabad", 56.25 L,"2,777 ",2025 ,New
185,Alekya Infraa Developers,AGENT,Residential Plot,"Sangareddy, Hyderabad", 50 L,"2,777 ",1800 ,New
186,Alekya Infraa Developers,AGENT,Residential Plot,"Sangareddy, Hyderabad", 42.5 L,"2,777 ",1530 ,New
187,Alekya Infraa Developers,AGENT,Residential Plot,"Sangareddy, Hyderabad", 41.25 L,"2,777 ",1485 ,New
188,Alekya Infraa Developers,AGENT,Residential Plot,"Bogaram, Hyderabad", 50 L,"2,777 ",1800 ,New
189,Alekya Infraa Developers,AGENT,Residential Plot,"Aroor, Hyderabad", 26.08 L,"1,777 ",1467 ,New
190,Alekya Infraa Developers,AGENT,Residential Plot,"Aroor, Hyderabad", 60 L,"1,904 ",3150 ,New
191,Alekya Infraa Developers,AGENT,Residential Plot,"Aroor, Hyderabad", 56 L,"1,777 ",3150 ,New
192,Alekya Infraa Developers,AGENT,Residential Plot,"Aroor, Hyderabad", 52 L,"1,777 ",2925 ,New
193,Alekya Infraa Developers,AGENT,Residential Plot,"Aroor, Hyderabad", 40 L,"1,777 ",2250 ,New
194,Alekya Infraa Developers,AGENT,Residential Plot,"Sadashivpet, Hyderabad", 29.25 L,"1,444 ",2025 ,New
195,Alekya Infraa Developers,AGENT,Residential Plot,"Sadashivpet, Hyderabad", 26 L,"1,444 ",1800 ,New
196,Alekya Infraa Developers,AGENT,Residential Plot,"Aroor, Hyderabad", 28 L,"1,777 ",1575 ,New
197,Alekya Infraa Developers,AGENT,Residential Plot,"Sadashivpet, Hyderabad", 39 L,"1,444 ",2700 ,New
198,Alekya Infraa Developers,AGENT,Residential Plot,"Sadashivpet, Hyderabad", 42.25 L,"1,444 ",2925 ,New
199,My Home Constructions Pvt Ltd,BUILDER,3 BHK Apartment,"Tellapur, Hyderabad", 1.7 Cr,"7,515 ",2262 ,Under Construction
200,Maaruthi Group,AGENT,2 BHK Apartment,"Miyapur, Hyderabad", 69 L,"5,655 ",1220 ,Ready to move
201,Alekya Infraa Developers,AGENT,Residential Plot,"Sadashivpet, Hyderabad", 35.75 L,"1,444 ",2475 ,New
202,Alekya Infraa Developers,AGENT,Residential Plot,"Sadashivpet, Hyderabad", 25.35 L,"1,444 ",1755 ,New
203,Alekya Infraa Developers,AGENT,Residential Plot,"Sadashivpet, Hyderabad", 24.7 L,"1,444 ",1710 ,New
204,G square Housing,BUILDER,Residential Plot,"Choutuppal, Hyderabad", 48.99 L,"2,039 ",2403 ,New
205,G square Housing,BUILDER,Residential Plot,"Choutuppal, Hyderabad", 97.81 L,"2,039 ",4797 ,New
206,G square Housing,BUILDER,Residential Plot,"Choutuppal, Hyderabad", 48.99 L,"2,039 ",2403 ,New
207,G square Housing,BUILDER,Residential Plot,"Choutuppal, Hyderabad", 97.81 L,"2,039 ",4797 ,New
208,Shree Vasavi Developers,BUILDER,3 BHK Apartment,"Attapur, Hyderabad", 1.11 Cr,"6,899 ",1615 ,Under Construction
209,Shree Vasavi Developers,BUILDER,3 BHK Apartment,"Attapur, Hyderabad", 1.46 Cr,"6,899 ",2120 ,Under Construction
210,Shree Vasavi Developers,BUILDER,3 BHK Apartment,"Attapur, Hyderabad", 1.95 Cr,"6,899 ",2840 ,Under Construction
211,Shree Vasavi Developers,BUILDER,3 BHK Apartment,"Attapur, Hyderabad", 1.86 Cr,"6,899 ",2710 ,Under Construction
212,Shree Vasavi Developers,BUILDER,3 BHK Apartment,"Attapur, Hyderabad", 1.5 Cr,"6,899 ",2180 ,Under Construction
213,Shree Vasavi Developers,BUILDER,3 BHK Apartment,"Attapur, Hyderabad", 1.2 Cr,"6,899 ",1750 ,Under Construction
214,Shree Vasavi Developers,BUILDER,3 BHK Apartment,"Attapur, Hyderabad", 1.55 Cr,"6,899 ",2260 ,Under Construction
215,Shree Vasavi Developers,BUILDER,3 BHK Apartment,"Attapur, Hyderabad", 1.47 Cr,"6,899 ",2135 ,Under Construction
216,Shree Vasavi Developers,BUILDER,3 BHK Apartment,"Attapur, Hyderabad", 96.24 L,"6,899 ",1395 ,Under Construction
217,Vajra Builders And Developers,BUILDER,3 BHK Apartment,"Bowrampet, Hyderabad", 70.35 L,"4,200 ",1675 ,Under Construction
218,Vasavi Group,BUILDER,3 BHK Apartment,"Kukatpally, Hyderabad", 2.26 Cr,"8,000 ",2830 ,Ready to move
219,Vasavi Group,BUILDER,3 BHK Apartment,"Kukatpally, Hyderabad", 1.84 Cr,"8,000 ",2300 ,Ready to move
220,Vasavi Group,BUILDER,3 BHK Apartment,"Kukatpally, Hyderabad", 1.84 Cr,"8,000 ",2300 ,Ready to move
221,Vasavi Group,BUILDER,3 BHK Apartment,"Kukatpally, Hyderabad", 1.42 Cr,"8,000 ",1775 ,Ready to move
222,Vasavi Group,BUILDER,3 BHK Apartment,"Kukatpally, Hyderabad", 1.42 Cr,"8,000 ",1775 ,Ready to move
223,Vasavi Group,BUILDER,3 BHK Apartment,"Kukatpally, Hyderabad", 2.56 Cr,"8,000 ",3205 ,Ready to move
224,Vasavi Group,BUILDER,3 BHK Apartment,"Kukatpally, Hyderabad", 2.56 Cr,"8,000 ",3205 ,Ready to move
225,Vasavi Group,BUILDER,3 BHK Apartment,"Kukatpally, Hyderabad", 1.4 Cr,"8,000 ",1750 ,Ready to move
226,Vasavi Group,BUILDER,3 BHK Apartment,"Kukatpally, Hyderabad", 1.4 Cr,"8,000 ",1750 ,Ready to move
227,Vasavi Group,BUILDER,3 BHK Apartment,"Kukatpally, Hyderabad", 1.56 Cr,"8,000 ",1955 ,Ready to move
228,Vasavi Group,BUILDER,3 BHK Apartment,"Kukatpally, Hyderabad", 1.56 Cr,"8,000 ",1955 ,Ready to move
229,Vasavi Group,BUILDER,3 BHK Apartment,"Kukatpally, Hyderabad", 1.92 Cr,"8,000 ",2405 ,Ready to move
230,Vasavi Group,BUILDER,3 BHK Apartment,"Kukatpally, Hyderabad", 1.92 Cr,"8,000 ",2405 ,Ready to move
231,Vasavi Group,BUILDER,3 BHK Apartment,"Kukatpally, Hyderabad", 1.67 Cr,"8,000 ",2090 ,Ready to move
232,Vasavi Group,BUILDER,3 BHK Apartment,"Kukatpally, Hyderabad", 1.67 Cr,"8,000 ",2090 ,Ready to move
233,Vasavi Group,BUILDER,3 BHK Apartment,"Kukatpally, Hyderabad", 1.68 Cr,"8,000 ",2100 ,Ready to move
234,Vasavi Group,BUILDER,3 BHK Apartment,"Kukatpally, Hyderabad", 1.68 Cr,"8,000 ",2100 ,Ready to move
235,Vasavi Group,BUILDER,3 BHK Apartment,"Kukatpally, Hyderabad", 1.44 Cr,"8,000 ",1810 ,Ready to move
236,Vasavi Group,BUILDER,3 BHK Apartment,"Kukatpally, Hyderabad", 1.44 Cr,"8,000 ",1810 ,Ready to move
237,Vasavi Group,BUILDER,3 BHK Apartment,"Kukatpally, Hyderabad", 2.2 Cr,"8,000 ",2760 ,Ready to move
238,Vasavi Group,BUILDER,3 BHK Apartment,"Kukatpally, Hyderabad", 2.2 Cr,"8,000 ",2760 ,Ready to move
239,Vasavi Group,BUILDER,3 BHK Apartment,"Kukatpally, Hyderabad", 1.55 Cr,"8,000 ",1940 ,Ready to move
240,Vasavi Group,BUILDER,3 BHK Apartment,"Kukatpally, Hyderabad", 1.55 Cr,"8,000 ",1940 ,Ready to move
241,Vasavi Group,BUILDER,3 BHK Apartment,"Kukatpally, Hyderabad", 1.66 Cr,"8,000 ",2075 ,Ready to move
242,Vasavi Group,BUILDER,3 BHK Apartment,"Kukatpally, Hyderabad", 1.66 Cr,"8,000 ",2075 ,Ready to move
243,Alekya Infraa Developers,AGENT,Residential Plot,"Kamkole, Hyderabad", 36 L,"1,777 ",2025 ,New
244,Alekya Infraa Developers,AGENT,Residential Plot,"Sangareddy, Hyderabad", 40.75 L,"2,777 ",1467 ,New
245,Alekya Infraa Developers,AGENT,Residential Plot,"Aroor, Hyderabad", 36 L,"1,777 ",2025 ,New
246,Alekya Infraa Developers,AGENT,Residential Plot,"Aroor, Hyderabad", 26.08 L,"1,777 ",1467 ,New
247,Alekya Infraa Developers,AGENT,Residential Plot,"Sangareddy, Hyderabad", 40.75 L,"2,777 ",1467 ,New
248,Alekya Infraa Developers,AGENT,Residential Plot,"Aroor, Hyderabad", 30.4 L,"1,777 ",1710 ,New
249,Alekya Infraa Developers,AGENT,Residential Plot,"Sadashivpet, Hyderabad", 45.5 L,"1,444 ",3150 ,New
250,Alekya Infraa Developers,AGENT,Residential Plot,"Aroor, Hyderabad", 48 L,"1,777 ",2700 ,New
251,Alekya Infraa Developers,AGENT,Residential Plot,"Aroor, Hyderabad", 31.2 L,"1,777 ",1755 ,New
252,Alekya Infraa Developers,AGENT,Residential Plot,"Aroor, Hyderabad", 28.8 L,"1,777 ",1620 ,New
253,Alekya Infraa Developers,AGENT,Residential Plot,"Sangareddy, Hyderabad", 48.75 L,"2,777 ",1755 ,New
254,Alekya Infraa Developers,AGENT,Residential Plot,"Sangareddy, Hyderabad", 47.5 L,"2,777 ",1710 ,New
255,Alekya Infraa Developers,AGENT,Residential Plot,"Sangareddy, Hyderabad", 46.25 L,"2,777 ",1665 ,New
256,Alekya Infraa Developers,AGENT,Residential Plot,"Sangareddy, Hyderabad", 45 L,"2,777 ",1620 ,New
257,Alekya Infraa Developers,AGENT,Residential Plot,"Sangareddy, Hyderabad", 43.75 L,"2,777 ",1575 ,New
258,Alekya Infraa Developers,AGENT,Residential Plot,"Sangareddy, Hyderabad", 40 L,"2,777 ",1440 ,New
259,Riddhi Group,BUILDER,3 BHK Apartment,"Jeedimetla, Hyderabad", 1.1 Cr,"5,800 ",1910 ,Under Construction
260,Riddhi Group,BUILDER,3 BHK Apartment,"Jeedimetla, Hyderabad", 1.18 Cr,"5,800 ",2040 ,Under Construction
261,Riddhi Group,BUILDER,4 BHK Apartment,"Jeedimetla, Hyderabad", 1.68 Cr,"5,800 ",2910 ,Under Construction
262,Riddhi Group,BUILDER,3 BHK Apartment,"Jeedimetla, Hyderabad", 1.14 Cr,"5,800 ",1980 ,Under Construction
263,Riddhi Group,BUILDER,3 BHK Apartment,"Jeedimetla, Hyderabad", 1.17 Cr,"5,800 ",2030 ,Under Construction
264,Riddhi Group,BUILDER,2 BHK Apartment,"Jeedimetla, Hyderabad", 63.8 L,"5,800 ",1100 ,Under Construction
265,Riddhi Group,BUILDER,3 BHK Apartment,"Jeedimetla, Hyderabad", 1.06 Cr,"5,800 ",1830 ,Under Construction
266,Riddhi Group,BUILDER,2 BHK Apartment,"Jeedimetla, Hyderabad", 71.34 L,"5,800 ",1230 ,Under Construction
267,Riddhi Group,BUILDER,3 BHK Apartment,"Jeedimetla, Hyderabad", 93.09 L,"5,800 ",1605 ,Under Construction
268,Riddhi Group,BUILDER,3 BHK Apartment,"Jeedimetla, Hyderabad", 1.2 Cr,"5,800 ",2080 ,Under Construction
269,Riddhi Group,BUILDER,3 BHK Apartment,"Jeedimetla, Hyderabad", 1.44 Cr,"5,800 ",2495 ,Under Construction
270,Riddhi Group,BUILDER,2 BHK Apartment,"Jeedimetla, Hyderabad", 69.31 L,"5,800 ",1195 ,Under Construction
271,Riddhi Group,BUILDER,4 BHK Apartment,"Jeedimetla, Hyderabad", 1.75 Cr,"5,800 ",3030 ,Under Construction
272,Riddhi Group,BUILDER,3 BHK Apartment,"Jeedimetla, Hyderabad", 1.11 Cr,"5,800 ",1915 ,Under Construction
273,Riddhi Group,BUILDER,3 BHK Apartment,"Jeedimetla, Hyderabad", 1.5 Cr,"5,800 ",2590 ,Under Construction
274,Riddhi Group,BUILDER,4 BHK Apartment,"Jeedimetla, Hyderabad", 1.82 Cr,"5,800 ",3150 ,Under Construction
275,Riddhi Group,BUILDER,3 BHK Apartment,"Jeedimetla, Hyderabad", 1.27 Cr,"5,800 ",2200 ,Under Construction
276,Riddhi Group,BUILDER,2 BHK Apartment,"Jeedimetla, Hyderabad", 65.83 L,"5,800 ",1135 ,Under Construction
277,Riddhi Group,BUILDER,3 BHK Apartment,"Jeedimetla, Hyderabad", 1.08 Cr,"5,800 ",1865 ,Under Construction
278,Riddhi Group,BUILDER,2 BHK Apartment,"Puppalaguda, Hyderabad", 80.95 L,"6,300 ",1285 ,Ready to move
279,Riddhi Group,BUILDER,3 BHK Apartment,"Puppalaguda, Hyderabad", 1.07 Cr,"6,300 ",1700 ,Ready to move
280,Riddhi Group,BUILDER,2 BHK Apartment,"Puppalaguda, Hyderabad", 81.77 L,"6,300 ",1298 ,Ready to move
281,Riddhi Group,BUILDER,3 BHK Apartment,"Puppalaguda, Hyderabad", 1.04 Cr,"6,300 ",1665 ,Ready to move
282,Theme Ambience Infrastructures,BUILDER,3 BHK Apartment,"Attapur, Hyderabad", 1.25 Cr,"6,800 ",1845 ,Under Construction
283,Theme Ambience Infrastructures,BUILDER,3 BHK Apartment,"Attapur, Hyderabad", 1.53 Cr,"6,800 ",2250 ,Under Construction
284,Theme Ambience Infrastructures,BUILDER,3 BHK Apartment,"Attapur, Hyderabad", 1.41 Cr,"6,800 ",2075 ,Under Construction
285,Signature Avenues,BUILDER,3 BHK Apartment,"Kollur, Hyderabad", 93.73 L,"4,999 ",1875 ,Under Construction
286,Signature Avenues,BUILDER,2 BHK Apartment,"Kollur, Hyderabad", 77.48 L,"4,999 ",1550 ,Under Construction
287,Signature Avenues,BUILDER,3 BHK Apartment,"Kollur, Hyderabad", 90.98 L,"4,999 ",1820 ,Under Construction
288,Signature Avenues,BUILDER,2 BHK Apartment,"Kollur, Hyderabad", 70.98 L,"4,999 ",1420 ,Under Construction
289,Signature Avenues,BUILDER,3 BHK Apartment,"Kollur, Hyderabad", 1.09 Cr,"4,999 ",2200 ,Under Construction
290,Signature Avenues,BUILDER,2 BHK Apartment,"Kollur, Hyderabad", 69.98 L,"4,999 ",1400 ,Under Construction
291,Signature Avenues,BUILDER,2 BHK Apartment,"Kollur, Hyderabad", 81.73 L,"4,999 ",1635 ,Under Construction
292,Maaruthi Group,AGENT,2 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad", 52 L,"4,727 ",1100 ,Ready to move
293,Maaruthi Group,AGENT,2 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad", 55 L,"5,188 ",1060 ,Under Construction
294,Maaruthi Group,AGENT,2 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad", 52 L,"4,684 ",1110 ,Under Construction
295,Maaruthi Group,AGENT,2 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad", 53 L,"4,774 ",1110 ,Ready to move
296,Maaruthi Group,AGENT,2 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad", 53 L,"4,472 ",1185 ,Ready to move
297,Maaruthi Group,AGENT,2 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad", 53 L,"4,711 ",1125 ,Under Construction
298,Maaruthi Group,AGENT,2 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad", 37 L,"3,700 ",1000 ,Ready to move
299,Maaruthi Group,AGENT,2 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad", 53 L,"4,472 ",1185 ,Ready to move
300,Maaruthi Group,AGENT,2 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad", 37 L,"3,700 ",1000 ,Ready to move
301,Maaruthi Group,AGENT,2 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad", 54 L,"4,518 ",1195 ,Ready to move
302,Maaruthi Group,AGENT,2 BHK Apartment,"Bowrampet, Hyderabad", 37 L,"3,700 ",1000 ,Ready to move
303,Maaruthi Group,AGENT,2 BHK Apartment,"Bowrampet, Hyderabad", 37 L,"3,700 ",1000 ,Ready to move
304,Maaruthi Group,AGENT,2 BHK Apartment,"Bowrampet, Hyderabad", 37 L,"3,700 ",1000 ,Ready to move
305,Maaruthi Group,AGENT,2 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad", 52 L,"4,727 ",1100 ,Ready to move
306,Maaruthi Group,AGENT,3 BHK Villa,"Kompally, Hyderabad", 1.55 Cr,"6,141 ",2524 ,Under Construction
307,Maaruthi Group,AGENT,2 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad", 53 L,"4,818 ",1100 ,Ready to move
308,Maaruthi Group,AGENT,2 BHK Apartment,"Bachupally, Hyderabad", 44 L,"3,826 ",1150 ,Ready to move
309,Maaruthi Group,AGENT,3 BHK Villa,"Bowrampet, Hyderabad", 1.67 Cr,"7,046 ",2370 ,Ready to move
310,Maaruthi Group,AGENT,2 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad", 61 L,"5,398 ",1130 ,Ready to move
311,Maaruthi Group,AGENT,2 BHK Apartment,"Miyapur, Hyderabad", 68 L,"5,913 ",1150 ,Ready to move
312,Maaruthi Group,AGENT,2 BHK Apartment,"Miyapur, Hyderabad", 68.5 L,"5,614 ",1220 ,Ready to move
313,Maaruthi Group,AGENT,2 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad", 52 L,"4,727 ",1100 ,Ready to move
314,Maaruthi Group,AGENT,2 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad", 53 L,"4,818 ",1100 ,Ready to move
315,Maaruthi Group,AGENT,2 BHK Apartment,"Sultanpur, Hyderabad", 53 L,"4,818 ",1100 ,Ready to move
316,Maaruthi Group,AGENT,2 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad", 53 L,"4,774 ",1110 ,Ready to move
317,Maaruthi Group,AGENT,2 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad", 57.36 L,"4,800 ",1195 ,Ready to move
