,Seller Name,Seller type,BHK,Location,Total Price,price per sqft,Area_sqft,Construction status
318,Maaruthi Group,AGENT,3 BHK Apartment,"Hyder Nagar, Hyderabad", 83 L,"5,203 ",1595 ,Ready to move
319,Maaruthi Group,AGENT,2 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad", 73.43 L,"5,605 ",1310 ,Ready to move
320,Maaruthi Group,AGENT,2 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad", 58 L,"5,087 ",1140 ,Ready to move
321,Maaruthi Group,AGENT,3 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad", 62 L,"4,105 ",1510 ,Ready to move
322,Maaruthi Group,AGENT,2 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad", 59 L,"5,175 ",1140 ,Ready to move
323,Maaruthi Group,AGENT,3 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad", 70 L,"4,861 ",1440 ,Ready to move
324,Maaruthi Group,AGENT,2 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad", 56 L,"5,090 ",1100 ,Ready to move
325,Maaruthi Group,AGENT,2 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad", 56 L,"5,045 ",1110 ,Ready to move
326,Maaruthi Group,AGENT,2 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad", 57.36 L,"4,800 ",1195 ,Ready to move
327,Maaruthi Group,AGENT,3 BHK Apartment,"Kukatpally, Hyderabad", 1.1 Cr,"5,500 ",2000 ,Ready to move
328,Maaruthi Group,AGENT,2 BHK Apartment,"Kukatpally, Hyderabad", 60.18 L,"5,677 ",1060 ,Ready to move
329,Maaruthi Group,AGENT,2 BHK Apartment,"Nizampet, Hyderabad", 99.4 L,"5,522 ",1800 ,Ready to move
330,Maaruthi Group,AGENT,3 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad", 66.5 L,"4,156 ",1600 ,Ready to move
331,Maaruthi Group,AGENT,2 BHK Apartment,"Nizampet, Hyderabad", 62 L,"5,511 ",1125 ,Ready to move
332,Maaruthi Group,AGENT,2 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad", 55 L,"4,721 ",1165 ,Ready to move
333,Maaruthi Group,AGENT,2 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad", 51 L,"4,250 ",1200 ,Ready to move
334,Maaruthi Group,AGENT,2 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad", 58 L,"5,000 ",1160 ,Ready to move
335,Maaruthi Group,AGENT,3 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad", 56 L,"3,957 ",1415 ,Ready to move
336,Srija Infra Developers Hyderabad,BUILDER,2 BHK Apartment,"Dammaiguda, Hyderabad", 50.49 L,"4,800 ",1052 ,Under Construction
337,Srija Infra Developers Hyderabad,BUILDER,2 BHK Apartment,"Dammaiguda, Hyderabad", 59.85 L,"4,800 ",1247 ,Under Construction
338,Srija Infra Developers Hyderabad,BUILDER,3 BHK Apartment,"Dammaiguda, Hyderabad", 69.98 L,"4,800 ",1458 ,Under Construction
339,Srija Infra Developers Hyderabad,BUILDER,2 BHK Apartment,"Dammaiguda, Hyderabad", 57.6 L,"4,800 ",1200 ,Under Construction
340,Cyber City Oriana,BUILDER,2 BHK Apartment,"Kukatpally, Hyderabad", 1.2 Cr,"10,344 ",1160 ,Under Construction
341,Primark Projects Pvt Ltd,BUILDER,2 BHK Apartment,"Kompally, Hyderabad", 54.97 L,"4,699 ",1170 ,Under Construction
342,seller,VERIFIED OWNER,3 BHK Apartment,"Uppal, Hyderabad", 80 L,"5,747 ",1392 ,Under Construction
343,seller,VERIFIED OWNER,1 BHK Independent Floor,"Abids, Hyderabad", 40 L,"5,333 ",750 ,Ready to move
344,seller,VERIFIED OWNER,2 BHK Apartment,"Gajularamaram, Hyderabad", 55.48 L,"4,999 ",1110 ,Ready to move
345,seller,VERIFIED OWNER,2 BHK Independent House,"Badangpet, Hyderabad", 87 L,"6,444 ",1350 ,Ready to move
346,seller,VERIFIED OWNER,5 BHK Villa,"Kokapet, Hyderabad", 21.5 Cr,"25,595 ",8400 ,Ready to move
347,seller,VERIFIED OWNER,2 BHK Apartment,"Kollur, Hyderabad", 60 L,"4,761 ",1260 ,Under Construction
348,seller,VERIFIED OWNER,4 BHK Villa,"Kollur, Hyderabad", 1.3 Cr,"2,452 ",5300 ,Under Construction
349,seller,VERIFIED OWNER,3 BHK Apartment,"Serilingampally, Hyderabad", 95 L,"5,989 ",1586 ,Ready to move
350,seller,VERIFIED OWNER,2 BHK Apartment,"Kollur, Hyderabad", 60 L,"4,761 ",1260 ,Under Construction
351,seller,VERIFIED OWNER,3 BHK Apartment,"Nallagandla Gachibowli, Hyderabad", 1.8 Cr,"9,729 ",1850 ,Ready to move
352,seller,VERIFIED OWNER,2 BHK Apartment,"Isnapur, Hyderabad", 31 L,"2,818 ",1100 ,Under Construction
353,seller,VERIFIED OWNER,3 BHK Apartment,"Serilingampally, Hyderabad", 1.55 Cr,"5,849 ",2650 ,Under Construction
354,seller,VERIFIED OWNER,5 BHK Independent House,"Moti Nagar, Hyderabad", 10 Cr,"16,666 ",6000 ,Ready to move
355,seller,VERIFIED OWNER,5 BHK Villa,"Kollur, Hyderabad", 5.3 Cr,"6,235 ",8500 ,Under Construction
356,seller,VERIFIED OWNER,2 BHK Apartment,"Kokapet, Hyderabad", 72 L,"6,635 ",1085 ,Under Construction
357,seller,VERIFIED OWNER,2 BHK Apartment,"Miyapur, Hyderabad", 72 L,"5,925 ",1215 ,Under Construction
358,seller,VERIFIED OWNER,2 BHK Apartment,"Isnapur, Hyderabad", 32 L,"2,990 ",1070 ,Under Construction
359,seller,VERIFIED OWNER,2 BHK Apartment,"Medchal, Hyderabad", 38 L,"3,377 ",1125 ,Under Construction
360,seller,VERIFIED OWNER,3 BHK Apartment,"Qutub Shahi Tombs, Hyderabad", 90 L,"5,338 ",1686 ,Ready to move
361,seller,VERIFIED OWNER,4 BHK Villa,"Mokila, Hyderabad", 3.22 Cr,"8,500 ",3788 ,Ready to move
362,seller,VERIFIED OWNER,3 BHK Apartment,"Kukatpally, Hyderabad", 86 L,"5,460 ",1575 ,Under Construction
363,seller,VERIFIED OWNER,3 BHK Apartment,"Suraram, Hyderabad", 69 L,"4,451 ",1550 ,Under Construction
364,seller,VERIFIED OWNER,3 BHK Apartment,"Kompally, Hyderabad", 96.89 L,"5,489 ",1765 ,Ready to move
365,seller,VERIFIED OWNER,2 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad", 55.91 L,"4,699 ",1190 ,Under Construction
366,seller,VERIFIED OWNER,2 BHK Apartment,"Shamirpet, Hyderabad", 38 L,"3,486 ",1090 ,Under Construction
367,seller,VERIFIED OWNER,3 BHK Independent Floor,"Malakpet, Hyderabad", 47 L,"4,351 ",1080 ,Ready to move
368,seller,VERIFIED OWNER,2 BHK Apartment,"Miyapur, Hyderabad", 65 L,"7,080 ",918 ,Under Construction
369,seller,VERIFIED OWNER,2 BHK Apartment,"Isnapur, Hyderabad", 38.5 L,"4,010 ",960 ,Under Construction
370,seller,VERIFIED OWNER,3 BHK Apartment,"Miyapur, Hyderabad", 60 L,"4,000 ",1500 ,Under Construction
371,seller,VERIFIED OWNER,2 BHK Apartment,"Mallampet, Hyderabad", 57 L,"5,000 ",1140 ,Ready to move
372,seller,VERIFIED OWNER,2 BHK Independent House,"Boduppal, Hyderabad", 1.5 Cr,"11,111 ",1350 ,Under Construction
373,seller,VERIFIED OWNER,2 BHK Apartment,"Isnapur, Hyderabad", 38.5 L,"4,010 ",960 ,Under Construction
374,seller,VERIFIED OWNER,3 BHK Apartment,"Alwal, Hyderabad", 81.75 L,"5,000 ",1635 ,Ready to move
375,seller,VERIFIED OWNER,4 BHK Villa,"Manneguda, Hyderabad", 3 Cr,"9,490 ",3161 ,Under Construction
376,seller,VERIFIED OWNER,3 BHK Apartment,"Alwal, Hyderabad", 75 L,"12,500 ",600 ,Ready to move
377,seller,VERIFIED OWNER,4 BHK Villa,"Patancheru, Hyderabad", 75 L,"3,750 ",2000 ,Under Construction
378,seller,VERIFIED OWNER,4 BHK Apartment,"Hitech City, Hyderabad", 2.46 Cr,"9,148 ",2695 ,Ready to move
379,seller,VERIFIED OWNER,3 BHK Independent House,"Alwal, Hyderabad", 1.35 Cr,"6,585 ",2050 ,Ready to move
380,seller,VERIFIED OWNER,3 BHK Independent House,"Alwal, Hyderabad", 1.35 Cr,"6,585 ",2050 ,Ready to move
381,seller,VERIFIED OWNER,2 BHK Apartment,"Manikonda, Hyderabad", 90 L,"6,521 ",1380 ,Under Construction
382,seller,VERIFIED OWNER,10 BHK Independent House,"LB Nagar, Hyderabad", 3.4 Cr,"4,857 ",7000 ,Ready to move
383,seller,VERIFIED OWNER,2 BHK Apartment,"Miyapur, Hyderabad", 61.96 L,"5,099 ",1215 ,Under Construction
384,seller,VERIFIED OWNER,2 BHK Apartment,"Osman Nagar, Hyderabad", 66 L,"6,534 ",1010 ,Under Construction
385,seller,VERIFIED OWNER,2 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad", 80 L,"5,517 ",1450 ,Under Construction
386,seller,VERIFIED OWNER,3 BHK Apartment,"Sri Nagar Colony, Hyderabad", 67 L,"4,620 ",1450 ,Ready to move
387,seller,VERIFIED OWNER,2 BHK Apartment,"Velimela, Hyderabad", 28.5 L,"2,500 ",1140 ,Under Construction
388,seller,VERIFIED OWNER,2 BHK Independent House,"Bolarum, Hyderabad", 1.25 Cr,"5,681 ",2200 ,Ready to move
389,seller,VERIFIED OWNER,5 BHK Independent House,"Saroornagar, Hyderabad", 2 Cr,"3,603 ",5550 ,Ready to move
390,seller,VERIFIED OWNER,8 BHK Villa,"Kompally, Hyderabad", 6.25 Cr,"13,034 ",4795 ,Ready to move
391,seller,VERIFIED OWNER,2 BHK Apartment,"B N reddy nagar, Hyderabad", 59.99 L,"3,645 ",1646 ,Ready to move
392,seller,VERIFIED OWNER,4 BHK Independent Floor,"Dammaiguda, Hyderabad", 1.1 Cr,"4,230 ",2600 ,Under Construction
393,seller,VERIFIED OWNER,2 BHK Apartment,"Auto Nagar, Hyderabad", 67 L,"6,090 ",1100 ,Ready to move
394,seller,VERIFIED OWNER,3 BHK Apartment,"Nagole, Hyderabad", 75 L,"5,136 ",1460 ,Ready to move
395,seller,VERIFIED OWNER,2 BHK Apartment,"Isnapur, Hyderabad", 33.59 L,"3,998 ",840 ,Under Construction
396,seller,VERIFIED OWNER,3 BHK Villa,"Patancheru, Hyderabad", 1.27 Cr,"5,291 ",2400 ,Ready to move
397,seller,VERIFIED OWNER,2 BHK Apartment,"Kondapur, Hyderabad", 1.75 Cr,"9,733 ",1798 ,Ready to move
398,seller,VERIFIED OWNER,2 BHK Apartment,"Kondapur, Hyderabad", 1.25 Cr,"9,637 ",1297 ,Ready to move
399,seller,VERIFIED OWNER,2 BHK Independent House,"Borabanda, Hyderabad", 90 L,"9,009 ",999 ,Ready to move
400,seller,VERIFIED OWNER,3 BHK Independent Floor,"Kukatpally, Hyderabad", 85 L,"5,483 ",1550 ,Ready to move
401,seller,VERIFIED OWNER,3 BHK Apartment,"Kondapur, Hyderabad", 2 Cr,"11,111 ",1800 ,Ready to move
402,seller,VERIFIED OWNER,3 BHK Independent House,"Adibatla, Hyderabad", 1.1 Cr,"4,074 ",2700 ,Ready to move
403,seller,VERIFIED OWNER,2 BHK Apartment,"Bandlaguda Jagir, Hyderabad", 75 L,"5,900 ",1271 ,Ready to move
404,seller,VERIFIED OWNER,2 BHK Apartment,"Aminpur, Hyderabad", 44.93 L,"4,300 ",1045 ,Ready to move
405,seller,VERIFIED OWNER,2 BHK Apartment,"Gagillapur, Hyderabad", 42 L,"4,242 ",990 ,Ready to move
406,seller,VERIFIED OWNER,2 BHK Apartment,"Gundlapochampalli, Hyderabad", 50.4 L,"4,344 ",1160 ,Ready to move
407,seller,VERIFIED OWNER,4 BHK Independent House,"Bowenpally, Hyderabad", 6 Cr,"10,909 ",5500 ,Ready to move
408,seller,VERIFIED OWNER,2 BHK Independent House,"Krishna Reddy Pet, Hyderabad", 96 L,"7,680 ",1250 ,Ready to move
409,seller,VERIFIED OWNER,2 BHK Apartment,"Kondapur, Hyderabad", 1.62 Cr,"7,883 ",2055 ,Under Construction
410,seller,VERIFIED OWNER,3 BHK Apartment,"Gandipet, Hyderabad", 96.7 L,"5,596 ",1728 ,Under Construction
411,seller,VERIFIED OWNER,2 BHK Apartment,"Kukatpally, Hyderabad", 53 L,"4,862 ",1090 ,Ready to move
412,seller,VERIFIED OWNER,5 BHK Villa,"Serilingampally, Hyderabad", 14.98 Cr,"23,046 ",6500 ,Ready to move
413,seller,VERIFIED OWNER,2 BHK Apartment,"Kompally, Hyderabad", 49.5 L,"4,714 ",1050 ,Ready to move
414,seller,VERIFIED OWNER,3 BHK Apartment,"Kompally, Hyderabad", 1.01 Cr,"5,880 ",1726 ,Ready to move
415,seller,VERIFIED OWNER,2 BHK Apartment,"Bolarum, Hyderabad", 63 L,"5,502 ",1145 ,Ready to move
416,seller,VERIFIED OWNER,3 BHK Apartment,"Kondapur, Hyderabad", 92 L,"6,258 ",1470 ,Ready to move
417,seller,VERIFIED OWNER,4 BHK Villa,"Kapra, Hyderabad", 1.9 Cr,"5,937 ",3200 ,Ready to move
418,seller,VERIFIED OWNER,2 BHK Apartment,"Kondapur, Hyderabad", 78 L,"6,500 ",1200 ,Ready to move
419,seller,VERIFIED OWNER,3 BHK Apartment,"Narsingi, Hyderabad", 1.35 Cr,"8,437 ",1600 ,Ready to move
420,seller,VERIFIED OWNER,2 BHK Apartment,"Appa Junction Peerancheru, Hyderabad", 90 L,"7,092 ",1269 ,Ready to move
421,seller,VERIFIED OWNER,4 BHK Villa,"Velimela, Hyderabad", 2.3 Cr,"5,989 ",3840 ,Under Construction
422,seller,VERIFIED OWNER,2 BHK Apartment,"Kothapet, Hyderabad", 37 L,"3,810 ",971 ,Ready to move
423,seller,VERIFIED OWNER,3 BHK Apartment,"Nallagandla Gachibowli, Hyderabad", 95 L,"6,597 ",1440 ,Ready to move
424,seller,VERIFIED OWNER,2 BHK Independent House,"Laxmiguda, Hyderabad", 55 L,"6,875 ",800 ,Ready to move
425,seller,VERIFIED OWNER,2 BHK Apartment,"Kollur, Hyderabad", 36 L,"3,000 ",1200 ,Under Construction
426,seller,VERIFIED OWNER,2 BHK Apartment,"Nacharam, Hyderabad", 55.7 L,"4,554 ",1223 ,Under Construction
427,seller,VERIFIED OWNER,3 BHK Apartment,"Attapur, Hyderabad", 1.01 Cr,"6,234 ",1620 ,Ready to move
428,seller,VERIFIED OWNER,2 BHK Independent House,"muthangi, Hyderabad", 68 L,"5,151 ",1320 ,Under Construction
429,seller,VERIFIED OWNER,2 BHK Apartment,"Thumkunta, Hyderabad", 40 L,"4,744 ",843 ,Ready to move
430,seller,VERIFIED OWNER,2 BHK Apartment,"Ramachandra Puram, Hyderabad", 31 L,"3,875 ",800 ,Ready to move
431,seller,VERIFIED OWNER,4 BHK Apartment,"Mehdipatnam, Hyderabad", 48 L,"4,800 ",1000 ,Ready to move
432,seller,VERIFIED OWNER,2 BHK Apartment,"Madhapur, Hyderabad", 92 L,"8,000 ",1150 ,Ready to move
433,seller,VERIFIED OWNER,2 BHK Apartment,"Manikonda, Hyderabad", 55 L,"4,074 ",1350 ,Under Construction
434,seller,VERIFIED OWNER,2 BHK Apartment,"Bachupally, Hyderabad", 89 L,"6,357 ",1400 ,Under Construction
435,Hallmark Builders,BUILDER,4 BHK Apartment,"Gandipet, Hyderabad", 4.06 Cr,"7,999 ",5080 ,Under Construction
436,Hallmark Builders,BUILDER,4 BHK Apartment,"Gandipet, Hyderabad", 4.06 Cr,"7,999 ",5080 ,Under Construction
437,Hallmark Builders,BUILDER,3 BHK Apartment,"Gandipet, Hyderabad", 1.63 Cr,"7,999 ",2040 ,Under Construction
438,Hallmark Builders,BUILDER,3 BHK Apartment,"Gandipet, Hyderabad", 1.63 Cr,"7,999 ",2040 ,Under Construction
439,Hallmark Builders,BUILDER,4 BHK Apartment,"Gandipet, Hyderabad", 3.26 Cr,"7,999 ",4080 ,Under Construction
440,Hallmark Builders,BUILDER,4 BHK Apartment,"Gandipet, Hyderabad", 3.26 Cr,"7,999 ",4080 ,Under Construction
441,Hallmark Builders,BUILDER,4 BHK Apartment,"Gandipet, Hyderabad", 4.06 Cr,"7,999 ",5080 ,Under Construction
442,Hallmark Builders,BUILDER,4 BHK Apartment,"Gandipet, Hyderabad", 4.06 Cr,"7,999 ",5080 ,Under Construction
443,Hallmark Builders,BUILDER,3 BHK Apartment,"Gandipet, Hyderabad", 1.63 Cr,"7,999 ",2040 ,Under Construction
444,Hallmark Builders,BUILDER,3 BHK Apartment,"Gandipet, Hyderabad", 1.63 Cr,"7,999 ",2040 ,Under Construction
445,Hallmark Builders,BUILDER,4 BHK Apartment,"Gandipet, Hyderabad", 3.26 Cr,"7,999 ",4080 ,Under Construction
446,Hallmark Builders,BUILDER,4 BHK Apartment,"Gandipet, Hyderabad", 3.26 Cr,"7,999 ",4080 ,Under Construction
447,Hallmark Builders,BUILDER,3 BHK Apartment,"Gandipet, Hyderabad", 1.91 Cr,"7,999 ",2400 ,Under Construction
448,Hallmark Builders,BUILDER,3 BHK Apartment,"Gandipet, Hyderabad", 1.91 Cr,"7,999 ",2400 ,Under Construction
449,Hallmark Builders,BUILDER,4 BHK Apartment,"Gandipet, Hyderabad", 2.67 Cr,"7,999 ",3342 ,Under Construction
450,Hallmark Builders,BUILDER,4 BHK Apartment,"Gandipet, Hyderabad", 2.67 Cr,"7,999 ",3342 ,Under Construction
451,Hallmark Builders,BUILDER,3 BHK Apartment,"Gandipet, Hyderabad", 2.03 Cr,"7,999 ",2540 ,Under Construction
452,Hallmark Builders,BUILDER,3 BHK Apartment,"Gandipet, Hyderabad", 2.03 Cr,"7,999 ",2540 ,Under Construction
453,Hallmark Builders,BUILDER,3 BHK Apartment,"Gandipet, Hyderabad", 1.41 Cr,"7,999 ",1765 ,Under Construction
454,Hallmark Builders,BUILDER,3 BHK Apartment,"Gandipet, Hyderabad", 1.41 Cr,"7,999 ",1765 ,Under Construction
455,Hallmark Builders,BUILDER,3 BHK Apartment,"Gandipet, Hyderabad", 1.51 Cr,"7,999 ",1895 ,Under Construction
456,Hallmark Builders,BUILDER,3 BHK Apartment,"Gandipet, Hyderabad", 1.51 Cr,"7,999 ",1895 ,Under Construction
457,seller,VERIFIED OWNER,2 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad", 54 L,"4,500 ",1200 ,Ready to move
458,seller,VERIFIED OWNER,2 BHK Apartment,"Kukatpally, Hyderabad", 56 L,"5,000 ",1120 ,Ready to move
459,seller,VERIFIED OWNER,4 BHK Independent House,"Krishna Reddy Pet, Hyderabad", 93 L,"6,888 ",1350 ,Under Construction
460,seller,VERIFIED OWNER,3 BHK Villa,"Bongloor, Hyderabad", 1.39 Cr,"6,318 ",2200 ,Under Construction
461,seller,VERIFIED OWNER,2 BHK Apartment,"Bachupally, Hyderabad", 68 L,"5,643 ",1205 ,Under Construction
462,seller,VERIFIED OWNER,3 BHK Villa,"Patancheru, Hyderabad", 1.26 Cr,"7,730 ",1630 ,Under Construction
463,seller,VERIFIED OWNER,2 BHK Apartment,"Happy Homes Colony, Hyderabad", 62 L,"4,952 ",1252 ,Ready to move
464,seller,VERIFIED OWNER,6 BHK Independent House,"Alwal, Hyderabad", 1.75 Cr,"4,069 ",4300 ,Ready to move
465,seller,VERIFIED OWNER,2 BHK Apartment,"Kapra, Hyderabad", 65.4 L,"5,495 ",1190 ,Ready to move
466,seller,VERIFIED OWNER,3 BHK Apartment,"Kukatpally, Hyderabad", 1.08 Cr,"7,200 ",1500 ,Ready to move
467,GSR Group,BUILDER,3 BHK Apartment,"Kollur, Hyderabad", 91.84 L,"3,499 ",2625 ,Under Construction
468,GSR Group,BUILDER,2 BHK Apartment,"Kollur, Hyderabad", 41.46 L,"3,499 ",1185 ,Under Construction
469,GSR Group,BUILDER,3 BHK Apartment,"Kollur, Hyderabad", 54.23 L,"3,499 ",1550 ,Under Construction
470,GSR Group,BUILDER,2 BHK Apartment,"Kollur, Hyderabad", 36.73 L,"3,499 ",1050 ,Under Construction
471,GSR Group,BUILDER,3 BHK Apartment,"Kollur, Hyderabad", 62.28 L,"3,499 ",1780 ,Under Construction
472,GSR Group,BUILDER,2 BHK Apartment,"Kollur, Hyderabad", 45.48 L,"3,499 ",1300 ,Under Construction
473,seller,VERIFIED OWNER,2 BHK Apartment,"Bachupally, Hyderabad", 62.08 L,"4,900 ",1267 ,Ready to move
474,seller,VERIFIED OWNER,2 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad", 58 L,"4,833 ",1200 ,Under Construction
475,seller,VERIFIED OWNER,3 BHK Apartment,"Kapra, Hyderabad", 68 L,"4,506 ",1509 ,Ready to move
476,seller,VERIFIED OWNER,2 BHK Apartment,"Malkajgiri, Hyderabad", 64 L,"5,925 ",1080 ,Ready to move
477,seller,VERIFIED OWNER,6 BHK Independent House,"Kushaiguda, Hyderabad", 2.5 Cr,"7,142 ",3500 ,Ready to move
478,seller,VERIFIED OWNER,3 BHK Independent House,"Balapur, Hyderabad", 42.5 L,"4,250 ",1000 ,Ready to move
479,seller,VERIFIED OWNER,2 BHK Apartment,"Kukatpally, Hyderabad", 84 L,"5,793 ",1450 ,Ready to move
